comp,dir,date,val
maxLST,Canopy_func,2019_April_02,0.76501685
maxLST,Canopy_func,2019_April_03,1.1496269
maxLST,Canopy_func,2019_April_04,1.1916513
maxLST,Canopy_func,2019_April_05,
maxLST,Canopy_func,2019_April_06,1.0978032
maxLST,Canopy_func,2019_April_07,1.250852
maxLST,Canopy_func,2019_April_08,1.209571
maxLST,Canopy_func,2019_April_09,
maxLST,Canopy_func,2019_April_10,0.47963512
maxLST,Canopy_func,2019_April_11,
maxLST,Canopy_func,2019_April_12,0.0
maxLST,Canopy_func,2019_April_13,0.0
maxLST,Canopy_func,2019_April_14,0.0
maxLST,Canopy_func,2019_April_15,1.079225
maxLST,Canopy_func,2019_April_16,0.2926937
maxLST,Canopy_func,2019_April_17,
maxLST,Canopy_func,2019_April_18,1.1833525
maxLST,Canopy_func,2019_April_19,1.4497313
maxLST,Canopy_func,2019_April_20,
maxLST,Canopy_func,2019_April_21,1.4169929
maxLST,Canopy_func,2019_April_22,1.3621162
maxLST,Canopy_func,2019_April_23,1.626808
maxLST,Canopy_func,2019_April_24,1.6837608
maxLST,Canopy_func,2019_April_25,1.8045458
maxLST,Canopy_func,2019_April_26,1.8242805
maxLST,Canopy_func,2019_April_27,0.0
maxLST,Canopy_func,2019_April_28,0.0
maxLST,Canopy_func,2019_April_29,
maxLST,Canopy_func,2019_April_30,1.5052987
maxLST,Canopy_func,2019_August_02,2.2988796
maxLST,Canopy_func,2019_August_03,2.032451
maxLST,Canopy_func,2019_August_04,1.7053447
maxLST,Canopy_func,2019_August_05,
maxLST,Canopy_func,2019_July_02,-6.7641525
maxLST,Canopy_func,2019_July_03,
maxLST,Canopy_func,2019_July_04,1.6852818
maxLST,Canopy_func,2019_July_05,0.0
maxLST,Canopy_func,2019_July_06,2.8368146
maxLST,Canopy_func,2019_July_07,
maxLST,Canopy_func,2019_July_08,
maxLST,Canopy_func,2019_July_09,
maxLST,Canopy_func,2019_July_10,
maxLST,Canopy_func,2019_July_11,2.0927951
maxLST,Canopy_func,2019_July_12,0.0
maxLST,Canopy_func,2019_July_13,
maxLST,Canopy_func,2019_July_14,
maxLST,Canopy_func,2019_July_15,
maxLST,Canopy_func,2019_July_16,0.0
maxLST,Canopy_func,2019_July_17,
maxLST,Canopy_func,2019_July_18,1.7612014
maxLST,Canopy_func,2019_July_19,0.0
maxLST,Canopy_func,2019_July_20,
maxLST,Canopy_func,2019_July_21,
maxLST,Canopy_func,2019_July_22,0.0
maxLST,Canopy_func,2019_July_23,2.376452
maxLST,Canopy_func,2019_July_24,2.724241
maxLST,Canopy_func,2019_July_25,2.5886722
maxLST,Canopy_func,2019_July_26,2.4452872
maxLST,Canopy_func,2019_July_27,2.5985208
maxLST,Canopy_func,2019_July_28,
maxLST,Canopy_func,2019_July_29,
maxLST,Canopy_func,2019_July_30,
maxLST,Canopy_func,2019_July_31,
maxLST,Canopy_func,2019_June_02,2.6303647
maxLST,Canopy_func,2019_June_03,3.2484012
maxLST,Canopy_func,2019_June_04,2.8158417
maxLST,Canopy_func,2019_June_05,3.251044
maxLST,Canopy_func,2019_June_06,2.919356
maxLST,Canopy_func,2019_June_07,2.0842164
maxLST,Canopy_func,2019_June_08,
maxLST,Canopy_func,2019_June_09,2.4396157
maxLST,Canopy_func,2019_June_10,
maxLST,Canopy_func,2019_June_11,2.9583793
maxLST,Canopy_func,2019_June_12,3.1418967
maxLST,Canopy_func,2019_June_13,2.1987686
maxLST,Canopy_func,2019_June_14,2.4664726
maxLST,Canopy_func,2019_June_15,2.9130416
maxLST,Canopy_func,2019_June_16,
maxLST,Canopy_func,2019_June_17,2.080997
maxLST,Canopy_func,2019_June_18,2.6041522
maxLST,Canopy_func,2019_June_19,1.517332
maxLST,Canopy_func,2019_June_20,
maxLST,Canopy_func,2019_June_21,
maxLST,Canopy_func,2019_June_22,2.3871844
maxLST,Canopy_func,2019_June_23,
maxLST,Canopy_func,2019_June_24,2.4164493
maxLST,Canopy_func,2019_June_25,2.601657
maxLST,Canopy_func,2019_June_26,3.1421695
maxLST,Canopy_func,2019_June_27,2.1651123
maxLST,Canopy_func,2019_June_28,
maxLST,Canopy_func,2019_June_29,2.3122778
maxLST,Canopy_func,2019_June_30,2.8263648
maxLST,Canopy_func,2019_May_02,
maxLST,Canopy_func,2019_May_03,1.6121259
maxLST,Canopy_func,2019_May_04,
maxLST,Canopy_func,2019_May_05,1.4040484
maxLST,Canopy_func,2019_May_06,
maxLST,Canopy_func,2019_May_07,0.80271655
maxLST,Canopy_func,2019_May_08,
maxLST,Canopy_func,2019_May_09,
maxLST,Canopy_func,2019_May_10,
maxLST,Canopy_func,2019_May_11,0.0
maxLST,Canopy_func,2019_May_12,
maxLST,Canopy_func,2019_May_13,-0.5154442
maxLST,Canopy_func,2019_May_14,0.0
maxLST,Canopy_func,2019_May_15,0.0
maxLST,Canopy_func,2019_May_16,0.8007185
maxLST,Canopy_func,2019_May_17,
maxLST,Canopy_func,2019_May_18,2.2362444
maxLST,Canopy_func,2019_May_19,2.276543
maxLST,Canopy_func,2019_May_20,
maxLST,Canopy_func,2019_May_21,
maxLST,Canopy_func,2019_May_22,0.0
maxLST,Canopy_func,2019_May_23,2.585453
maxLST,Canopy_func,2019_May_24,0.0
maxLST,Canopy_func,2019_May_25,
maxLST,Canopy_func,2019_May_26,
maxLST,Canopy_func,2019_May_27,2.4793668
maxLST,Canopy_func,2019_May_28,0.0
maxLST,Canopy_func,2019_May_29,
maxLST,Canopy_func,2019_May_30,1.7883284
maxLST,Canopy_func,2019_May_31,0.0
maxLST,Soil_func,2019_April_02,0.8026438
maxLST,Soil_func,2019_April_03,1.4320645
maxLST,Soil_func,2019_April_04,0.46083286
maxLST,Soil_func,2019_April_05,
maxLST,Soil_func,2019_April_06,0.8298095
maxLST,Soil_func,2019_April_07,1.0411521
maxLST,Soil_func,2019_April_08,0.97441834
maxLST,Soil_func,2019_April_09,
maxLST,Soil_func,2019_April_10,0.028588783
maxLST,Soil_func,2019_April_11,
maxLST,Soil_func,2019_April_12,0.0
maxLST,Soil_func,2019_April_13,0.0
maxLST,Soil_func,2019_April_14,0.0
maxLST,Soil_func,2019_April_15,0.60734123
maxLST,Soil_func,2019_April_16,0.043238584
maxLST,Soil_func,2019_April_17,
maxLST,Soil_func,2019_April_18,1.5801567
maxLST,Soil_func,2019_April_19,1.4598297
maxLST,Soil_func,2019_April_20,
maxLST,Soil_func,2019_April_21,1.5309626
maxLST,Soil_func,2019_April_22,1.2728862
maxLST,Soil_func,2019_April_23,0.49384993
maxLST,Soil_func,2019_April_24,0.9109447
maxLST,Soil_func,2019_April_25,1.0278505
maxLST,Soil_func,2019_April_26,1.3547596
maxLST,Soil_func,2019_April_27,0.0
maxLST,Soil_func,2019_April_28,0.0
maxLST,Soil_func,2019_April_29,
maxLST,Soil_func,2019_April_30,1.139203
maxLST,Soil_func,2019_August_02,1.5267518
maxLST,Soil_func,2019_August_03,2.0326865
maxLST,Soil_func,2019_August_04,0.28146785
maxLST,Soil_func,2019_August_05,
maxLST,Soil_func,2019_July_02,0.009836469
maxLST,Soil_func,2019_July_03,
maxLST,Soil_func,2019_July_04,1.2765076
maxLST,Soil_func,2019_July_05,0.0
maxLST,Soil_func,2019_July_06,0.21410137
maxLST,Soil_func,2019_July_07,
maxLST,Soil_func,2019_July_08,
maxLST,Soil_func,2019_July_09,
maxLST,Soil_func,2019_July_10,
maxLST,Soil_func,2019_July_11,1.619244
maxLST,Soil_func,2019_July_12,0.0
maxLST,Soil_func,2019_July_13,
maxLST,Soil_func,2019_July_14,
maxLST,Soil_func,2019_July_15,
maxLST,Soil_func,2019_July_16,0.0
maxLST,Soil_func,2019_July_17,
maxLST,Soil_func,2019_July_18,1.7085698
maxLST,Soil_func,2019_July_19,0.0
maxLST,Soil_func,2019_July_20,
maxLST,Soil_func,2019_July_21,
maxLST,Soil_func,2019_July_22,0.0
maxLST,Soil_func,2019_July_23,1.385521
maxLST,Soil_func,2019_July_24,2.7454472
maxLST,Soil_func,2019_July_25,2.109907
maxLST,Soil_func,2019_July_26,1.7784952
maxLST,Soil_func,2019_July_27,0.35436848
maxLST,Soil_func,2019_July_28,
maxLST,Soil_func,2019_July_29,
maxLST,Soil_func,2019_July_30,
maxLST,Soil_func,2019_July_31,
maxLST,Soil_func,2019_June_02,2.4950476
maxLST,Soil_func,2019_June_03,1.0068525
maxLST,Soil_func,2019_June_04,2.3935738
maxLST,Soil_func,2019_June_05,1.2329918
maxLST,Soil_func,2019_June_06,1.4330076
maxLST,Soil_func,2019_June_07,2.6482463
maxLST,Soil_func,2019_June_08,
maxLST,Soil_func,2019_June_09,1.4254532
maxLST,Soil_func,2019_June_10,
maxLST,Soil_func,2019_June_11,2.68552
maxLST,Soil_func,2019_June_12,1.2431313
maxLST,Soil_func,2019_June_13,3.101459
maxLST,Soil_func,2019_June_14,2.1974618
maxLST,Soil_func,2019_June_15,1.9126959
maxLST,Soil_func,2019_June_16,
maxLST,Soil_func,2019_June_17,2.4458687
maxLST,Soil_func,2019_June_18,1.1602502
maxLST,Soil_func,2019_June_19,0.20724799
maxLST,Soil_func,2019_June_20,
maxLST,Soil_func,2019_June_21,
maxLST,Soil_func,2019_June_22,1.6167053
maxLST,Soil_func,2019_June_23,
maxLST,Soil_func,2019_June_24,2.204252
maxLST,Soil_func,2019_June_25,2.2902772
maxLST,Soil_func,2019_June_26,1.4563878
maxLST,Soil_func,2019_June_27,0.81684774
maxLST,Soil_func,2019_June_28,
maxLST,Soil_func,2019_June_29,2.0011384
maxLST,Soil_func,2019_June_30,0.8854623
maxLST,Soil_func,2019_May_02,
maxLST,Soil_func,2019_May_03,1.6964968
maxLST,Soil_func,2019_May_04,
maxLST,Soil_func,2019_May_05,1.6032867
maxLST,Soil_func,2019_May_06,
maxLST,Soil_func,2019_May_07,1.9917558
maxLST,Soil_func,2019_May_08,
maxLST,Soil_func,2019_May_09,
maxLST,Soil_func,2019_May_10,
maxLST,Soil_func,2019_May_11,0.0
maxLST,Soil_func,2019_May_12,
maxLST,Soil_func,2019_May_13,1.6753575
maxLST,Soil_func,2019_May_14,0.0
maxLST,Soil_func,2019_May_15,0.0
maxLST,Soil_func,2019_May_16,1.8827088
maxLST,Soil_func,2019_May_17,
maxLST,Soil_func,2019_May_18,1.4659885
maxLST,Soil_func,2019_May_19,1.8574177
maxLST,Soil_func,2019_May_20,
maxLST,Soil_func,2019_May_21,
maxLST,Soil_func,2019_May_22,0.0
maxLST,Soil_func,2019_May_23,0.0042125536
maxLST,Soil_func,2019_May_24,0.0
maxLST,Soil_func,2019_May_25,
maxLST,Soil_func,2019_May_26,
maxLST,Soil_func,2019_May_27,1.0984849
maxLST,Soil_func,2019_May_28,0.0
maxLST,Soil_func,2019_May_29,
maxLST,Soil_func,2019_May_30,3.2564685
maxLST,Soil_func,2019_May_31,0.0
minVZA,Canopy_func,2019_April_02,0.6938546
minVZA,Canopy_func,2019_April_03,1.1446865
minVZA,Canopy_func,2019_April_04,1.2331964
minVZA,Canopy_func,2019_April_05,
minVZA,Canopy_func,2019_April_06,1.2230884
minVZA,Canopy_func,2019_April_07,1.2396456
minVZA,Canopy_func,2019_April_08,0.0
minVZA,Canopy_func,2019_April_09,
minVZA,Canopy_func,2019_April_10,0.71717805
minVZA,Canopy_func,2019_April_11,
minVZA,Canopy_func,2019_April_12,0.0
minVZA,Canopy_func,2019_April_13,0.0
minVZA,Canopy_func,2019_April_14,0.0
minVZA,Canopy_func,2019_April_15,1.0671241
minVZA,Canopy_func,2019_April_16,0.0
minVZA,Canopy_func,2019_April_17,
minVZA,Canopy_func,2019_April_18,1.2824324
minVZA,Canopy_func,2019_April_19,0.0
minVZA,Canopy_func,2019_April_20,
minVZA,Canopy_func,2019_April_21,1.3857423
minVZA,Canopy_func,2019_April_22,1.3432101
minVZA,Canopy_func,2019_April_23,1.5971806
minVZA,Canopy_func,2019_April_24,1.3735809
minVZA,Canopy_func,2019_April_25,1.6994588
minVZA,Canopy_func,2019_April_26,1.815883
minVZA,Canopy_func,2019_April_27,0.0
minVZA,Canopy_func,2019_April_28,0.0
minVZA,Canopy_func,2019_April_29,
minVZA,Canopy_func,2019_April_30,1.4671617
minVZA,Canopy_func,2019_August_02,1.1131788
minVZA,Canopy_func,2019_August_03,2.008975
minVZA,Canopy_func,2019_August_04,1.5986713
minVZA,Canopy_func,2019_August_05,
minVZA,Canopy_func,2019_July_02,-4.787148
minVZA,Canopy_func,2019_July_03,
minVZA,Canopy_func,2019_July_04,1.7567813
minVZA,Canopy_func,2019_July_05,0.0
minVZA,Canopy_func,2019_July_06,2.2299984
minVZA,Canopy_func,2019_July_07,
minVZA,Canopy_func,2019_July_08,
minVZA,Canopy_func,2019_July_09,
minVZA,Canopy_func,2019_July_10,
minVZA,Canopy_func,2019_July_11,2.1307578
minVZA,Canopy_func,2019_July_12,0.0
minVZA,Canopy_func,2019_July_13,
minVZA,Canopy_func,2019_July_14,
minVZA,Canopy_func,2019_July_15,
minVZA,Canopy_func,2019_July_16,0.0
minVZA,Canopy_func,2019_July_17,
minVZA,Canopy_func,2019_July_18,-0.71192044
minVZA,Canopy_func,2019_July_19,0.0
minVZA,Canopy_func,2019_July_20,
minVZA,Canopy_func,2019_July_21,
minVZA,Canopy_func,2019_July_22,0.0
minVZA,Canopy_func,2019_July_23,2.7525017
minVZA,Canopy_func,2019_July_24,2.6333292
minVZA,Canopy_func,2019_July_25,-0.35652494
minVZA,Canopy_func,2019_July_26,2.088776
minVZA,Canopy_func,2019_July_27,2.2934062
minVZA,Canopy_func,2019_July_28,
minVZA,Canopy_func,2019_July_29,
minVZA,Canopy_func,2019_July_30,
minVZA,Canopy_func,2019_July_31,
minVZA,Canopy_func,2019_June_02,2.4955733
minVZA,Canopy_func,2019_June_03,2.7289608
minVZA,Canopy_func,2019_June_04,0.0
minVZA,Canopy_func,2019_June_05,0.0
minVZA,Canopy_func,2019_June_06,2.849216
minVZA,Canopy_func,2019_June_07,2.1387017
minVZA,Canopy_func,2019_June_08,
minVZA,Canopy_func,2019_June_09,1.7627485
minVZA,Canopy_func,2019_June_10,
minVZA,Canopy_func,2019_June_11,2.9035568
minVZA,Canopy_func,2019_June_12,3.0859883
minVZA,Canopy_func,2019_June_13,-0.48078206
minVZA,Canopy_func,2019_June_14,2.5068147
minVZA,Canopy_func,2019_June_15,2.9598026
minVZA,Canopy_func,2019_June_16,
minVZA,Canopy_func,2019_June_17,1.6627307
minVZA,Canopy_func,2019_June_18,2.4915776
minVZA,Canopy_func,2019_June_19,1.0609066
minVZA,Canopy_func,2019_June_20,
minVZA,Canopy_func,2019_June_21,
minVZA,Canopy_func,2019_June_22,1.8784599
minVZA,Canopy_func,2019_June_23,
minVZA,Canopy_func,2019_June_24,0.0
minVZA,Canopy_func,2019_June_25,0.0
minVZA,Canopy_func,2019_June_26,3.0699658
minVZA,Canopy_func,2019_June_27,2.0987566
minVZA,Canopy_func,2019_June_28,
minVZA,Canopy_func,2019_June_29,-0.7653424
minVZA,Canopy_func,2019_June_30,2.2648845
minVZA,Canopy_func,2019_May_02,
minVZA,Canopy_func,2019_May_03,1.547215
minVZA,Canopy_func,2019_May_04,
minVZA,Canopy_func,2019_May_05,-0.4751984
minVZA,Canopy_func,2019_May_06,
minVZA,Canopy_func,2019_May_07,0.75744003
minVZA,Canopy_func,2019_May_08,
minVZA,Canopy_func,2019_May_09,
minVZA,Canopy_func,2019_May_10,
minVZA,Canopy_func,2019_May_11,0.0
minVZA,Canopy_func,2019_May_12,
minVZA,Canopy_func,2019_May_13,0.23034833
minVZA,Canopy_func,2019_May_14,0.0
minVZA,Canopy_func,2019_May_15,0.0
minVZA,Canopy_func,2019_May_16,0.9377853
minVZA,Canopy_func,2019_May_17,
minVZA,Canopy_func,2019_May_18,2.1862078
minVZA,Canopy_func,2019_May_19,2.1387491
minVZA,Canopy_func,2019_May_20,
minVZA,Canopy_func,2019_May_21,
minVZA,Canopy_func,2019_May_22,0.0
minVZA,Canopy_func,2019_May_23,1.805798
minVZA,Canopy_func,2019_May_24,0.0
minVZA,Canopy_func,2019_May_25,
minVZA,Canopy_func,2019_May_26,
minVZA,Canopy_func,2019_May_27,2.4495025
minVZA,Canopy_func,2019_May_28,0.0
minVZA,Canopy_func,2019_May_29,
minVZA,Canopy_func,2019_May_30,1.9369725
minVZA,Canopy_func,2019_May_31,0.0
minVZA,Soil_func,2019_April_02,0.012153373
minVZA,Soil_func,2019_April_03,1.8997467
minVZA,Soil_func,2019_April_04,0.5480483
minVZA,Soil_func,2019_April_05,
minVZA,Soil_func,2019_April_06,0.5945867
minVZA,Soil_func,2019_April_07,1.2771846
minVZA,Soil_func,2019_April_08,0.0
minVZA,Soil_func,2019_April_09,
minVZA,Soil_func,2019_April_10,0.89364064
minVZA,Soil_func,2019_April_11,
minVZA,Soil_func,2019_April_12,0.0
minVZA,Soil_func,2019_April_13,0.0
minVZA,Soil_func,2019_April_14,0.0
minVZA,Soil_func,2019_April_15,1.0411702
minVZA,Soil_func,2019_April_16,0.0
minVZA,Soil_func,2019_April_17,
minVZA,Soil_func,2019_April_18,1.783104
minVZA,Soil_func,2019_April_19,0.0
minVZA,Soil_func,2019_April_20,
minVZA,Soil_func,2019_April_21,1.7039801
minVZA,Soil_func,2019_April_22,1.6353269
minVZA,Soil_func,2019_April_23,0.66918796
minVZA,Soil_func,2019_April_24,0.03481407
minVZA,Soil_func,2019_April_25,1.0824018
minVZA,Soil_func,2019_April_26,1.6399076
minVZA,Soil_func,2019_April_27,0.0
minVZA,Soil_func,2019_April_28,0.0
minVZA,Soil_func,2019_April_29,
minVZA,Soil_func,2019_April_30,1.1234217
minVZA,Soil_func,2019_August_02,3.373816
minVZA,Soil_func,2019_August_03,2.2413607
minVZA,Soil_func,2019_August_04,0.75284284
minVZA,Soil_func,2019_August_05,
minVZA,Soil_func,2019_July_02,0.7190359
minVZA,Soil_func,2019_July_03,
minVZA,Soil_func,2019_July_04,1.4537824
minVZA,Soil_func,2019_July_05,0.0
minVZA,Soil_func,2019_July_06,1.3764648
minVZA,Soil_func,2019_July_07,
minVZA,Soil_func,2019_July_08,
minVZA,Soil_func,2019_July_09,
minVZA,Soil_func,2019_July_10,
minVZA,Soil_func,2019_July_11,2.2541285
minVZA,Soil_func,2019_July_12,0.0
minVZA,Soil_func,2019_July_13,
minVZA,Soil_func,2019_July_14,
minVZA,Soil_func,2019_July_15,
minVZA,Soil_func,2019_July_16,0.0
minVZA,Soil_func,2019_July_17,
minVZA,Soil_func,2019_July_18,3.663284
minVZA,Soil_func,2019_July_19,0.0
minVZA,Soil_func,2019_July_20,
minVZA,Soil_func,2019_July_21,
minVZA,Soil_func,2019_July_22,0.0
minVZA,Soil_func,2019_July_23,1.180442
minVZA,Soil_func,2019_July_24,2.6944485
minVZA,Soil_func,2019_July_25,3.4428737
minVZA,Soil_func,2019_July_26,1.7901363
minVZA,Soil_func,2019_July_27,2.6698167
minVZA,Soil_func,2019_July_28,
minVZA,Soil_func,2019_July_29,
minVZA,Soil_func,2019_July_30,
minVZA,Soil_func,2019_July_31,
minVZA,Soil_func,2019_June_02,2.6548376
minVZA,Soil_func,2019_June_03,2.5133824
minVZA,Soil_func,2019_June_04,0.0
minVZA,Soil_func,2019_June_05,0.0
minVZA,Soil_func,2019_June_06,1.4536822
minVZA,Soil_func,2019_June_07,2.6494586
minVZA,Soil_func,2019_June_08,
minVZA,Soil_func,2019_June_09,2.4480972
minVZA,Soil_func,2019_June_10,
minVZA,Soil_func,2019_June_11,2.7785234
minVZA,Soil_func,2019_June_12,1.212039
minVZA,Soil_func,2019_June_13,4.3686223
minVZA,Soil_func,2019_June_14,2.1903303
minVZA,Soil_func,2019_June_15,1.9495963
minVZA,Soil_func,2019_June_16,
minVZA,Soil_func,2019_June_17,2.250698
minVZA,Soil_func,2019_June_18,1.6144512
minVZA,Soil_func,2019_June_19,3.3565764
minVZA,Soil_func,2019_June_20,
minVZA,Soil_func,2019_June_21,
minVZA,Soil_func,2019_June_22,1.5574812
minVZA,Soil_func,2019_June_23,
minVZA,Soil_func,2019_June_24,0.0
minVZA,Soil_func,2019_June_25,0.0
minVZA,Soil_func,2019_June_26,1.5121113
minVZA,Soil_func,2019_June_27,0.86358136
minVZA,Soil_func,2019_June_28,
minVZA,Soil_func,2019_June_29,3.179605
minVZA,Soil_func,2019_June_30,2.1542864
minVZA,Soil_func,2019_May_02,
minVZA,Soil_func,2019_May_03,1.9086851
minVZA,Soil_func,2019_May_04,
minVZA,Soil_func,2019_May_05,1.8536786
minVZA,Soil_func,2019_May_06,
minVZA,Soil_func,2019_May_07,2.4066963
minVZA,Soil_func,2019_May_08,
minVZA,Soil_func,2019_May_09,
minVZA,Soil_func,2019_May_10,
minVZA,Soil_func,2019_May_11,0.0
minVZA,Soil_func,2019_May_12,
minVZA,Soil_func,2019_May_13,1.2104377
minVZA,Soil_func,2019_May_14,0.0
minVZA,Soil_func,2019_May_15,0.0
minVZA,Soil_func,2019_May_16,1.210428
minVZA,Soil_func,2019_May_17,
minVZA,Soil_func,2019_May_18,1.6516939
minVZA,Soil_func,2019_May_19,1.8566893
minVZA,Soil_func,2019_May_20,
minVZA,Soil_func,2019_May_21,
minVZA,Soil_func,2019_May_22,0.0
minVZA,Soil_func,2019_May_23,0.07070967
minVZA,Soil_func,2019_May_24,0.0
minVZA,Soil_func,2019_May_25,
minVZA,Soil_func,2019_May_26,
minVZA,Soil_func,2019_May_27,2.4120085
minVZA,Soil_func,2019_May_28,0.0
minVZA,Soil_func,2019_May_29,
minVZA,Soil_func,2019_May_30,3.7049122
minVZA,Soil_func,2019_May_31,0.0
